song_id,album_id,track_number,release_date,release_date_precision,song_name,popularity_song,explicit,song_type,artist_id,name,followers,popularity_artist,artist_type,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,main_genre
7dt6x5M1jzdTEt8oCbisTK,6trNtQUgC8cgbWcqoMYkOR,9,27.04.18,day,Better Now,86,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,231267,10,1,4,0.354,0.68,0.563,0,0.136,-5.843,0.0454,0.374,145.028,dfw rap
2VdT56BGpdqNHUgOe1j5vc,6trNtQUgC8cgbWcqoMYkOR,3,27.04.18,day,Rich & Sad,74,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,206453,2,1,4,0.186,0.601,0.59,0,0.0942,-5.001,0.0569,0.274,151.952,dfw rap
3fpVWegR6YOS1Yk5HSMYIq,6trNtQUgC8cgbWcqoMYkOR,1,27.04.18,day,Paranoid,75,FALSE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,221787,0,1,4,0.0379,0.61,0.554,0.0000384,0.166,-5.501,0.137,0.244,159.85,dfw rap
4H7WNRErSbONkM06blBoGc,6trNtQUgC8cgbWcqoMYkOR,12,27.04.18,day,Stay,77,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,204427,5,1,4,0.414,0.479,0.468,0,0.148,-5.396,0.0274,0.35,85.913,dfw rap
09IOPhEh1OMe0HD9b36FJk,6trNtQUgC8cgbWcqoMYkOR,7,27.04.18,day,Over Now,74,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,246987,4,0,4,0.131,0.559,0.761,0.0000016,0.143,-4.041,0.0877,0.24,163.898,dfw rap
5lZZmityu9TAjNvSY6GLhR,6trNtQUgC8cgbWcqoMYkOR,4,27.04.18,day,Zack And Codeine,71,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,204360,5,0,4,0.143,0.742,0.84,0,0.133,-5.198,0.0471,0.287,138.032,dfw rap
5ffntNJnJOeFv7b7DCd0Bw,6trNtQUgC8cgbWcqoMYkOR,5,27.04.18,day,Takin` Shots,71,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,216747,5,1,4,0.597,0.767,0.625,0,0.409,-6.193,0.0836,0.577,120.092,dfw rap
1D2L6MefbXon28PzIk9I3r,6trNtQUgC8cgbWcqoMYkOR,16,27.04.18,day,92 Explorer,74,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,211427,7,0,4,0.269,0.802,0.743,0.00000136,0.121,-4.82,0.0474,0.877,146.03,dfw rap
4qWCFTuNnmGNdY4egtb4ZY,6trNtQUgC8cgbWcqoMYkOR,11,27.04.18,day,Otherside,71,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,228227,9,0,4,0.354,0.645,0.657,0.00000517,0.213,-5.688,0.0334,0.136,104.931,dfw rap
1ZemPoaj7LBj1RAQrb89EC,6trNtQUgC8cgbWcqoMYkOR,13,27.04.18,day,Blame It On Me,70,FALSE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,261800,11,0,4,0.135,0.651,0.587,0.0000107,0.149,-7.307,0.0421,0.317,121.838,dfw rap
32lItqlMi4LBhb4k0BaSaC,6trNtQUgC8cgbWcqoMYkOR,17,27.04.18,day,Candy Paint,79,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,227533,4,1,4,0.627,0.67,0.654,0.00000102,0.071,-5.944,0.153,0.438,180.024,dfw rap
0MrRAUcB8AZiB9ue2VOBYe,6trNtQUgC8cgbWcqoMYkOR,18,27.04.18,day,Sugar Wraith,71,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,228147,5,0,4,0.26,0.6,0.767,0,0.0979,-4.232,0.0868,0.291,164.079,dfw rap
0R6Jlsq25eZB3Wftpxi3oF,6trNtQUgC8cgbWcqoMYkOR,15,27.04.18,day,Jonestown (Interlude),62,FALSE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,112013,0,0,4,0.751,0.341,0.495,0.462,0.261,-10.251,0.0446,0.252,78.395,dfw rap
75ZvA4QfFiZvzhj2xkaWAh,5s0rmjP8XOPhP6HhqOhuyC,7,09.12.16,day,I Fall Apart,82,TRUE,Solo,246dkjvS1zLTtiykXe5h60,Post Malone,16737002,96,rapper,223347,8,0,4,0.0689,0.556,0.538,0,0.196,-5.408,0.0382,0.291,143.95,dfw rap
